Inicio do Log

9/2022, 15:46:28 - Iniciado a Seleção da empresa
WARNING:root:27/09/2022, 16:19:22 - Iniciado a Seleção do período
WARNING:root:27/09/2022, 16:19:24 - Concluído a Seleção do período
WARNING:root:27/09/2022, 16:19:24 - Iniciado a quebra das apurações
WARNING:root:27/09/2022, 16:19:28 - Concluído a quebra das apurações
WARNING:root:27/09/2022, 16:19:28 - Iniciado a apuração do ICMS / IPI / EFD
WARNING:root:27/09/2022, 16:19:47 - Concluído a apuração do ICMS / IPI / EFD
WARNING:root:27/09/2022, 16:19:47 - Iniciado a geração do Sped Fiscal
WARNING:root:27/09/2022, 16:20:02 - Concluído a geração do Sped Fiscal
WARNING:root:27/09/2022, 16:20:02 - Iniciado a comparação de arquivos
WARNING:root:27/09/2022, 16:20:02 - O arquivo está diferente. Favor consultar C:\GitHub\Auto_TGC\Automacao\Escrita_Fiscal\Geracao_De_Informacoes_Oficiais\SPED_Fiscal\108805\Difer.txt
WARNING:root:27/09/2022, 16:20:02 - Concluído a comparação de arquivos
